IDREGRO;ID_ARBRE;ESSENCE;ETAT;DHP;VIGUER6;NB_TIGE;SUP_PE;COUPE;LATITUDE;LONGITUDE;ALTITUDE;P_TOT;T_MA;REG_ECO;TYPE_ECO;MSCR;ABCD
TEM23APC5000;133;HEG;10;16.8;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;134;HEG;10;22.7;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;135;ERS;10;37.4;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;B
TEM23APC5000;136;ERS;10;38.4;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;B
TEM23APC5000;137;HEG;10;12.3;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;138;HEG;10;14.8;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;139;ERS;10;20.5;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;140;ERS;10;29.7;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;141;HEG;10;29;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;142;HEG;10;18.5;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;143;HEG;10;19.6;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;144;ERS;10;25.3;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;145;HEG;10;27.5;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;D
TEM23APC5000;146;ERS;10;35.7;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;B
TEM23APC5000;147;HEG;10;22.2;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;148;ERS;10;28.9;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;149;ERS;10;18.7;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;150;HEG;10;22.1;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;151;ERS;10;35.2;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;C
TEM23APC5000;152;ERS;10;11.8;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;153;ERS;10;21;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;154;ERS;10;40.7;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;155;HEG;10;37.3;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;C
TEM23APC5000;156;ERS;10;50.3;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;157;HEG;10;27.1;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;D
TEM23APC5000;158;ERS;10;31.8;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;C
TEM23APC5000;159;ERS;10;34.8;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;B
TEM23APC5000;160;ERS;10;10.8;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;161;HEG;10;14.2;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;162;HEG;10;25.5;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;163;HEG;10;9.6;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;164;HEG;10;33.7;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;D
TEM23APC5000;165;HEG;10;19.9;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;166;HEG;10;9.9;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;167;HEG;10;13.1;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;168;ERS;10;24.6;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;169;ERS;10;38.1;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;B
TEM23APC5000;170;HEG;10;16.8;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;171;HEG;10;22.7;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;172;ERS;10;37.4;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;C
TEM23APC5000;173;ERS;10;38.4;3;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;D
TEM23APC5000;174;HEG;10;12.3;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;175;HEG;10;14.8;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;
TEM23APC5000;176;ERS;10;20.5;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;177;ERS;10;29.7;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;178;HEG;10;29;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;C
TEM23APC5000;179;HEG;10;18.5;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;
TEM23APC5000;180;HEG;10;19.6;2;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;C;
TEM23APC5000;181;ERS;10;25.3;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;182;HEG;10;27.5;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;M;D
TEM23APC5000;183;ERS;10;35.7;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
TEM23APC5000;184;HEG;10;22.2;4;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;S;
TEM23APC5000;185;ERS;10;28.9;1;1;0.5;0;46.7;-75;360;1145;2.3;3b;FE32;R;C
